,high_mean,ssf_mean,ssf_minus_high,pct_diff
ocr_keyword_count,0.5,2.0,1.5,300.0
color_warmth,13.68,33.9,20.22,147.8
sharpness_laplacian,2526.62,992.48,-1534.14,-60.7
white_bg_pct,30.04,43.08,13.04,43.4
product_dominance_score,28.28,36.8,8.52,30.1
clutter_score,4.87,3.56,-1.31,-26.9
ocr_word_count,22.48,28.17,5.69,25.3
text_density_pct,6.33,5.03,-1.3,-20.5
green_ratio,1.18,0.97,-0.21,-17.8
symmetry_score,50.87,41.94,-8.93,-17.6
white_bg_compliance,0.4,0.33,-0.07,-17.5
dominant_color_1_pct,47.52,39.52,-8.0,-16.8
saturation_mean,94.09,79.88,-14.21,-15.1
contrast_std,61.13,70.15,9.02,14.8
brightness_mean,155.35,173.46,18.11,11.7
